BAPNodeID 	 parentNodeID 	 objectiveIncumbentSolution 	 nodeBound 	 nodeValue 	 cgIterations 	 t_master 	 t_pricing 	 nrGenColumns 	 solutionStatus 	 nodesInQueue 	 decision 	 fixedArcs 	 removedArcs
0	-1	1.7976931348623157E308	1634.0	1634.00	64	323	498	806	FRACTIONAL	0	unknown		
1	0	1.7976931348623157E308	1634.4	1634.40	11	24	92	41	FRACTIONAL	1	RemoveArc		0-82Rem || 
2	0	1.7976931348623157E308	1634.5500000000002	1634.55	9	29	77	39	FRACTIONAL	2	FixArc	0-82 || 	
3	1	1.7976931348623157E308	1634.75	1634.75	12	43	108	48	FRACTIONAL	3	RemoveArc		0-82Rem || 52-6Rem || 
4	1	1.7976931348623157E308	1636.8	1636.80	17	41	145	55	FRACTIONAL	4	FixArc	52-6 || 	0-82Rem || 
5	2	1.7976931348623157E308	1638.4500000000003	1638.45	12	48	86	49	FRACTIONAL	5	RemoveArc	0-82 || 	69-30Rem || 
6	2	1.7976931348623157E308	1636.5500000000002	1636.55	8	25	54	40	FRACTIONAL	6	FixArc	0-82 || 69-30 || 	
7	3	1.7976931348623157E308	1638.6500000000003	1638.65	9	47	65	33	FRACTIONAL	7	RemoveArc		0-82Rem || 69-30Rem || 52-6Rem || 
8	3	1.7976931348623157E308	1636.7500000000002	1636.75	6	22	41	14	FRACTIONAL	8	FixArc	69-30 || 	0-82Rem || 52-6Rem || 
9	4	1.7976931348623157E308	1636.866666666667	1636.87	16	43	99	45	FRACTIONAL	9	RemoveArc	52-6 || 	0-82Rem || 0-12Rem || 
10	4	1.7976931348623157E308	1637.7	1637.70	18	24	113	55	INTEGER	10	FixArc	52-6 || 0-12 || 	0-82Rem || 
11	5	1637.7	1638.4500000000003	-1.00	0	0	0	0	PRUNED	9	unknown	unknown	unknown
12	5	1637.7	1638.4500000000003	-1.00	0	0	0	0	PRUNED	8	unknown	unknown	unknown
13	6	1637.7	1642.1500000000003	1642.15	10	31	60	35	PRUNED	7	RemoveArc	0-82 || 69-30 || 	90-10Rem || 
14	6	1637.7	1638.8	1638.80	17	23	96	45	PRUNED	6	FixArc	90-10 || 0-82 || 69-30 || 	
15	7	1637.7	1638.6500000000003	-1.00	0	0	0	0	PRUNED	5	unknown	unknown	unknown
16	7	1637.7	1638.6500000000003	-1.00	0	0	0	0	PRUNED	4	unknown	unknown	unknown
17	8	1637.7	1638.4000000000003	1638.40	11	16	59	36	PRUNED	3	RemoveArc	69-30 || 	0-82Rem || 52-6Rem || 51-9Rem || 
18	8	1637.7	1643.3	1643.30	12	17	72	39	PRUNED	2	FixArc	69-30 || 51-9 || 	0-82Rem || 52-6Rem || 
19	9	1637.7	1639.4666666666665	1639.47	14	24	77	32	PRUNED	1	RemoveArc	52-6 || 	0-82Rem || 69-30Rem || 0-12Rem || 
20	9	1637.7	1637.0500000000002	1637.05	8	19	43	25	FRACTIONAL	0	FixArc	69-30 || 52-6 || 	0-82Rem || 0-12Rem || 
21	20	1637.7	1642.65	1642.65	10	23	56	19	PRUNED	1	RemoveArc	69-30 || 52-6 || 	90-10Rem || 0-82Rem || 0-12Rem || 
22	20	1637.7	1638.2000000000003	1638.20	10	18	56	47	PRUNED	0	FixArc	90-10 || 69-30 || 52-6 || 	0-82Rem || 0-12Rem || 
