iteration 	 boundOnMasterObjective 	 objectiveMasterProblem 	 cutoffValue 	 t_master 	 t_pricing 	 nrGenColumns 	 pricingSolver
0	0.00	2620.80	1.7976931348623157E308	4	1406	952	TabuSearch
1	0.00	1104.10	1.7976931348623157E308	3	7	14	NewPatternPulse
2	0.00	1065.80	1.7976931348623157E308	1	7	7	NewPatternPulse
3	0.00	1050.15	1.7976931348623157E308	1	5	5	NewPatternPulse
4	0.00	1048.05	1.7976931348623157E308	1	6	6	NewPatternPulse
5	0.00	1046.60	1.7976931348623157E308	1	4	4	NewPatternPulse
6	0.00	1044.20	1.7976931348623157E308	1	4	3	NewPatternPulse
7	0.00	1043.37	1.7976931348623157E308	1	6	1	NewPatternPulse
8	0.00	1043.37	1.7976931348623157E308	2	4	2	NewPatternPulse
9	0.00	1043.37	1.7976931348623157E308	1	5	1	NewPatternPulse
10	0.00	1043.37	1.7976931348623157E308	1	5	1	NewPatternPulse
11	0.00	1043.37	1.7976931348623157E308	1	4	2	NewPatternPulse
12	0.00	1043.37	1.7976931348623157E308	1	6	0	
13	1043.37	1043.37	1.7976931348623157E308	0	0	0	
14	1043.37	1044.00	1.7976931348623157E308	1	7	0	
